name,president,email,url,facebook,membership,about,date_established
Duke of Edinburgh Award Society,George Barker,uczxdea@ucl.ac.uk,,,6.00,"If you enjoy hiking, camping, volunteering, doing sports or simply having a laugh with new people then come to find out about us, and how to gain an internationally recognised and respected award.  The Duke of Edinburgh Award is a youth awards programme that helps young adults develop skills for life and work. To achieve the Gold award, you have to complete 5 sections : Physical, Volunteering, Skills, Expedition, Residential.  Taking up or continuing a sport is also a good way to socialise and meet more people. There is an amazing array of sports clubs to choose from offered by either University of London (UoL) Union or UCLU and UCLU has a volunteering unit where you can find all sorts of volunteering projects: http://uclu.org/services/volunteering-at...  More information about the award can be found on: http://www.dofe.org/  We are a society aimed towards supporting you to get your gold award. Whether you have completed bronze or silver or you are completely new, come along and achieve the Gold Duke of Edinburgh Award with us. We provide all the training and equipment. If you are already doing your Gold DofE , we can help you with suggestions for residential trips as well as activities for other sections. If you have completed the award then come along to our weekend hikes and social events.  Society Email: doe.award@ucl.ac.uk  Facebook Page: www.facebook.com/ucludofe1516",September 2000
Drama Society,Matthew Turbett,uczxdra@ucl.ac.uk,,https://www.facebook.com/UCLUDramaSoc,10.00,"'We have a simple aim: to create excellent, innovative and inclusive student theatre.’  Each year, UCLU Drama Society puts on as many as 25 productions, meaning that you’ll rarely find a time that a play is neither in production or performance. In previous years, we have put on vivid re-imaginings of everything from Shakespeare to Philip Ridley. On campus, we boast the Bloomsbury Theatre (a listed 550-seat West End theatre where we put on two large-scale productions a year). We also regularly stamp our mark on acclaimed theatres and performance spaces across the capital. Our productions are consistently popular and critical successes, with the society garnering particular praise for our annual run at the Edinburgh Fringe Festival through our touring company, UCLU Runaground. Each of our productions offers a number of fantastic opportunities. So whether you want to act, direct, produce, design set/lighting/costume/props or write the next dramatic masterpiece, we are here to help develop your ideas and make them into a reality. The UCLU Drama Society also has an exceptional programme of events outside of university productions, including weekly workshops, new writing workshops, socials and volunteering opportunities.  UCLU Drama Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
Debating Society,Suryasrinivasan Kumaravel,uczxdeb@ucl.ac.uk,,http://www.facebook.com/groups/ucludebating/,8.00," Welcome to UCLU Debating Society, UCL’s oldest and arguably most prestigious society, but one that is always open to everyone who wishes to attend. At the very heart of our society is the passion for debating, freedom of speech and critical thought. We welcome anyone and everyone to take part, regardless of whether you have had any previous experience or what academic discipline you. You’ll find that our committee and membership is very diverse in background and opinions but we all have a shared commitment to UCLU Debating Society and are willing to try and accommodate anyone who wants to get involved. We run public debates on Monday nights on topical and controversial issues with a panel of guest speakers with expert knowledge on the motion. Each Thursday we run debating workshops which are open to everyone and a great way to develop your debating, public speaking and analytical skills. Attending these also gives you the opportunity to represent UCL at competitions at other Universities. Our schools programme where we send teams of students into local schools to run workshops and organise competitions is a great way to share your passion for debating and meeting new people. If you have any questions please do not hesitate to contact us.  Email uclu-debate.society@ucl.ac.uk  UCLU Debating Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Dodgeball Club,Luke Barrett,,,https://www.facebook.com/groups/uczxdbc/,10.00,"UCLU Dodgeball Club is for anyone who wants to keep active whilst at university by playing a fun, light hearted sport with people who don’t take themselves too seriously.  Established in 2011, the club has continued to grow in stature both within UCL and on a national scale. Giving our members the chance to play against the best teams in the country, or just in friendly matches between other dodgeball clubs in London.  We have three training sessions a week that members can come to:  Tuesday 13:00-15:00 at Astor College Sports Hall  Wednesday 15:00-16:30 at Astor College Sports Hall  Friday 17:00-18:30 at Somers Town Sports Centre  We don’t keep count of how many sessions you attend, so feel free to do as much or as little dodgeball as you like!   At just £15 we are one of the cheapest sports to join at UCL (only 25p a session if you do the maths!). Training sessions are centred around a great cardio workout, having fun and improving your dodgeball skills. We place a strong emphasis on the social side of a university sports club and our dedicated social sec will ensure that we’re ever-present at UCL’s infamous sportsnites, as evidenced by the many photos on our Facebook page. In spring, we will be running the annual charity dodgeball tournament in the main quad. This event is always extremely popular with all UCL students and our club offers a chance to try your hand in advance of this.  Your membership fee allows you access to training and all socials for the whole year. We welcome members of all abilities and experience, whether you’re a die-hard pro or someone who doesn’t even know the rules - we are the club for you.  IF YOU WANT MORE INFO CHECK OUT OUR NEW WEBSITE: http://www.ucldodgeball.co.uk/  Thanks! - UCLU Dodgeball Committee  P.S Contrary to what some people might say, we are a real sport!!  UCLU Dodgeball Club have signed the Zero Tolerance to Sexual Harassment Pledge .    This Club is Pride in Sport Accredited  ",September 2011
Diplomacy in Action Society,Rajeen Ranatunga Jayasekara Koralalage,,,https://www.facebook.com/DiplomacyinAction,3.00,"Our society aims to inform UCL students about current political and economic challenges and to introduce them to diplomacy.  We host lectures, roundtables and formal dinners with a variety of speakers including senior diplomats, eminent professors and think tanks among others. These events give our members a sense of current relations and the challenges of being a diplomat. Our society also helps members to pursue diplomatic careers. UCL students will learn key facts about diplomacy and international relations from our speakers and will build an essential network of key personalities.  To get in touch email ucludiplomacy@gmail.co m or uclu-diplomacyinaction@ucl.ac.uk ",November 2013
Friends of Palestine Society,Yahya Abu-Seido,uczxfpc@ucl.ac.uk,,https://www.facebook.com/UCLUFOP,3.00,"UCLU Friends of Palestine is primarily concerned with spreading awareness about the oppression and injustice that the Palestinian people face everyday. We also aim to connect with students by sharing Palestinian culture, lifestyle and news. Palestine has become a symbol for all those oppressed around the world, and it is our duty to stand in solidarity against all kinds of oppression. Do get involved!  President: Yahya Abu Seido  Email - yahya.abu-seido.14@ucl.ac.uk ",
Friends of Médecins sans Frontières Society,Hemani Patel,uczxmsf@ucl.ac.uk,,https://www.facebook.com/groups/8582308847,2.50,"UCL Friends of MSF is part of the official student organisation for Médecins Sans Frontières, an independent  international humanitarian aid charity which provides medical aid where it is most needed ( http://www.msf.org.uk/ ).  Winning the Nobel Peace Prize in 1999, MSF has received global recognition for its work and continues to operate in 60 countries today.  UCL FoMSF is committed to raising awareness of MSF’s work and to fundraising for ongoing and future MSF projects.  From talks by those who have returned from MSF missions, to debates, film screenings and various fundraising events, all of our work revolves around the theme of humanitarian aid.  Last year, we organised the first ever ‘Introduction to Global Health Conference’ in conjunction with other UCL societies and the UCL Institute for Global Health.  Drawing in students from across the country, it was a huge success and will be repeated again this year.  The highlight of our fundraising events was undoubtedly the FoMSF Fun Run in Regent’s Park, which we organised for UCL and other university students, raising over £11,000.  This year we will be launching our brand new website so follow our updates for more news on that and ways to get involved!  Our events are open to students of all faculties.  If you are interested in Global Health and want to make a difference, join UCL FoMSF today!  UCLU Friends of Médecins Sans Frontières Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
Friends of Israel Society,Liora Cadranel,,,https://www.facebook.com/UCL.FOI,3.00,Goals: -Promote Israel on campus -Engaging in topical & constructive debate -host stimulating speakers -host social events  Like us on Facebook for all details of upcoming events : https://www.facebook.com/UCL.FOI ,October 2014
Free Hype Society,Maria Pykala,,,http://facebook.com/FreeHype,2.00,"Who we are  We are a student run pro bono creative agency here at UCL. We help charities by offering them free creative services – graphics, web design, video design… Join us to create, learn new skills, understand the industry, and most importantly, do good!  What we do  We get briefs from charities and we execute them as creatively as possible, with as little money as possible. We think, plan, write, draw, film, design and have fun.  We run workshops to learn skills needed in the creative industry, such as Photoshop, editing and web design. We also host lectures from industry professionals and charities. Last but not least, we visit the top creative agencies of the world and learn from the best.  Why we do it  We want to help. Charities with good causes need help with their advertising, marketing and visual image. Getting your message across is important and we like to help with our imagination. Free Hype offers invaluable experience to break into a tough industry, helps build your career, offers networking opportunities and is almost too much fun.",September 2013
Francophone Society,Floriane Joly,uczxfrc@ucl.ac.uk,,http://www.facebook.com/groups/francophonesociety/,4.00,"Since our creation almost ten years ago, we have grown to become one of the largest cultural societies at UCL, celebrating and promoting interest in the culture, history and current affairs of the French-speaking world.  As well as offering free French conversation classes to people of all abilities throughout the academic year, our members are also invited to attend regular free film viewings; cheese and wine and Francophone gastronomy nights; a chance to write for the university’s only French language newspaper, Le Journal and discounted entry to some of London’s most prestigious nightclubs for our infamous soirées.  UCLU Francophone Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",September 2006
Football Club (Women's),Leah Poonawala,uczxfcw@ucl.ac.uk,,https://www.facebook.com/ucluwfc,25.00,"UCLU Women’s Football is a fun yet competitive society that brings together students with an enthusiasm for and commitment to football. We welcome all new members to join, whether you’re a complete beginner or an experienced player. UCLUWFC is competing in the LUSL and BUCS league. We are running weekly training sessions, volunteering events and socials.     This Club is Pride in Sport Accredited   UCLU Women’s Football Club have signed the Zero Tolerance to Sexual Harassment Pledge .  ",
Football Club (SSEES),Kaiwen Liu,uczxsfc@ucl.ac.uk,,https://www.facebook.com/groups/177053909147185/?fref=ts,10.00,"Welcome to SSEES AFC.  Last year only two and a half players were actually members of UCL’s Slavonic School of Eastern European Studies department but anyone affiliated with UCL can play for the Red Army (and everyone within the club is treated equally.)  While a large importance is attached to your footballing prowess, we also emphasise a family spirit wherein your ability to throw shapes on the hallowed LOOP dancefloor or pull off a flip-flap on FIFA are as important as your real-life tekkers.  We have three beautiful teams which accommodate all abilities. Our Firsts missed out on the Wednesday Premier League title by a point, our Seconds clinched a stunning promotion for the second year running and our Thirds drank some beer and bullied the Social Secretary. This year SSEES AFC are aiming carry on the club’s rapid development by giving something back to the community through several charity events and volunteering opportunities ( http://uclu.org/services/volun… ).  Join the Red Army now and you’ll be eligible for a season of football (Wednesdays and Saturdays) at a competitive standard, free weekly five-a-side sessions, a slice of our hallowed SportsNite bar-tab, discounts on drinks at other local watering-holes, invites to our social events and legendary FIFA tournaments, free chips after every significant match AND a place on our official Summer tour to Eastern Europe.  Sounds alright? SSEES the day.     This Club is Pride in Sport Accredited   UCLU Football Club (SSEES) have signed the Zero Tolerance to Sexual Harassment Pledge . ",September 2003
Football Club (RUMS Women's),Lucy Tiffen,,,http://www.facebook.com/#!/groups/2251622090/,18.00,"RUMS Women’s football is, without a doubt, the most fun, friendly and generally lovely group of girls in the whole of UCL Medical School! We cater for all levels, from pros to newbies, so even if you’ve never kicked a ball before don’t panic - a lot of our girls had never played football before coming to Uni. Our season runs from October to March, with LUSL matches on Sundays and BUCS games on Wednesdays. We run training on an all-weather pitch Monday nights, and we also train in Regent’s Park on Wednesdays and Sundays when we don’t have matches. We love our football, but we also love to party! We’re not hard to spot at Sports Night, every Wednesday in Mully’s Bar – there’s games, singing, fancy dress and we usually have a good boogey afterwards (or head to Maccy D’s if we’re feeling a bit worse for wear!). We go on two tours a year with the boy’s football team - we have some great nights out, and we even manage to squeeze in a bit of footie! If you want to keep fit, play some brilliant football and make loads of great friends, RUMS WFC is the club to join!     This Club is Pride in Sport Accredited   UCLU RUMS Women’s Football Club have signed the Zero Tolerance to Sexual Harassment Pledge .  ",
Football Club (RUMS Men's),Girish Murali,uczxrfm@ucl.ac.uk,,,20.00,"Welcome to the RUMS Football Club, the Home of Football. With 5 teams and a packed social calendar we have a place for anyone no matter what your standard. Having won the National Association of Medical Schools (NAMS) tournament 79,012 times on the trott, we are a force to be reckoned with.     This Club is Pride in Sport Accredited  ",September 1997
Football Club (Men's),Conor Gay,uczxmfc@ucl.ac.uk,,https://www.facebook.com/uclufc,50.00,"We are UCLU Men’s Football Club: the biggest football club and the second biggest sports club at UCL. With seven teams competing in a combined total of eleven leagues, against London’s best university football teams, the footballing and social opportunities we can provide are unmatched at UCL. Join us!  FOOTBALL  Fixtures take place twice a week (Wednesdays and Saturdays) for all seven teams. Our home games are played at Shenley - some of the best pitches in London. These are shared with Premier League club Watford FC, and are located next door to Arsenal’s training pitches.  All seven teams train once per week (the 1st-5th XIs on Monday evenings and the 6th & 7th XIs on Thursday evenings).   SOCIALS  Incredible social nights are held every week, on a Wednesday evening and are hosted by our Social Secretaries for the season. On top of this we organise a host of various events over the course of the year, ranging from themed team dinners to socials involving the whole club.  Each year we run a tour abroad (recent tour destinations have included Sofia, Budapest, Prague and Barcelona). This is organised meticulously by the Tour Secretary and all members are welcome to come along and take on some of Europe’s finest footballing talent.   GETTING INVOLVED  MEET US: We will have a stall at this year's Welcome Fair, so come and speak with us there on the 1st/2nd of October. Members of our committee will be present to answer any questions you may have about football at UCL!  TRIALS: To join one of our seven teams, you should look to attend one of our trials. These will be taking place on Wednesday (October 5th) and Saturday (October 8th). Meet us outside Bloomsbury Theatre at 12pm and we will travel via coach to UCL's football pitches.   This year’s joining fee is £50 (all squad members must pay before playing for the club). This contributes towards a myriad of club related items, from our Nike kits, to various social events across the year, including our annual Christmas Party and End of Season Presentation Evening.  This Club has signed the Zero Tolerance to Sexual Harassment Pledge. ",
Folk Society,Alexander Squires,,,https://www.facebook.com/UCLUFolkSociety/,5.00,"We are the UCLU Folk and World Music Society, a group for anyone and everyone that enjoys the plethora of folk and World music found in and around London – from traditional folk jigs to acoustic guitar sessions. This is our second year as a society and our first year with World Music. We won Most Improved Arts Society 2014 as well as the inter-club dodgeball tournament.  We organise ceilidhs, workshops and regular socials, such as external gigs and jamming sessions/singarounds.  Last year we produced our very own compilation album at the Roundhouse, Camden: https://soundcloud.com/uclu-folk-and-wor... . It was well received and went on to receive numerous successful reviews!  Membership means discounts on ceilidhs, trips to festivals, big gigs in Mully's and beyond and info on all the folk and world-related shenanigans you could want. We also have our very own ceilidh band that you can join and opportunities for less jig-based bands within UCL.  Here's a list of our weekly events:  Tuesday - Ceilidh Band Rehearsal 5-6 UCLU CSC Rehearsal Room  Wednesday - World Music Band Practise, 2-4, CSC Room 204  Thursday - Scottish Dance Classes, 5.30-7pm, CSC Rehearsal Room, £2  Friday - Thank Folk it’s Friday, Print Room Café Gig 5:30-7:30 Free  Sunday - Jamming Sessions/Singarounds, 7.30pm at The Old Eagle ",September 2013
Fives Club,,uczxhan@ucl.ac.uk,,https://www.facebook.com/groups/UCLUFives/,5.00,"UCLU Fives and Wallball club provides individual coaching at all ability levels in three major handball sports (Rugby and Eton Fives and Wallball). We hold weekly training sessions, with coaches qualified on the national level. As a society we engage in competitions ranging from BUCS championships to informal matches with university and school teams, to international Wallball tournaments, with Men’s, Women’s and Mixed teams being fielded, from novice skill to 1sts. We have both competitive and social members, with weekly social events (sportsnite) along with end of term whole-society socials. We also run a community engagement volunteering programme, teaching Wallball to disadvantaged children in the local area, as a way of promoting interest in handball sports from an early age. This year we have laid plans for a Fives tour to Edinburgh and the formalisation of our university and schools fixtures into an organised league. ",
Floorball Club,Gaurav Jaiswal,uclu-floorball.club@ucl.ac.uk,,https://www.facebook.com/uclu.floorball,10.00,"UCLU Floorball Club has been revived for 2015-2016 after a slumber period during the last academic year. We plan to have weekly training sessions as well as participate in tournaments to spring the club back into broad member base and high popularity. Our two main aims are to make floorball better known across UCL and work hard in the first year to be worthy of participating in a Senior National League the next year.  All our sessions are in UCLU What’s On Calendar or in our Google Calendar at https://goo.gl/pUw258  There are Wednesday sessions at 6.30-7.30pm at King Solomon Academy, NW1 6RX (on Edgware Road tube station), Saturday sessions (only from 12th March; King Solomon Academy, 3-4pm) and Friday sessions at 2-3.30pm at Astor College (just next to UCL). During sessions, we do light exercise, learn floorball techniques, do floorball drills and play floorball. Come and join us, we would love to see you among us :-)  Your first session is always free! Then the sessions cost £2.5 on Wednesdays/Saturdays and £1.5 on Fridays OR alternatively, you can buy a training session package for £15 which covers all the sessions :-)  UCLU Floorball, *the best place to let your inner sportsperson run wild*  Watch our Facebook page (UCLU Floorball) for the newest information.  UCLU Floorball Club have signed the Zero Tolerance to Sexual Harassment Pledge .    This Club is Pride in Sport Accredited  ",
Hockey Club (RUMS Men's),Oliver Totham,uczxrum@ucl.ac.uk,,https://www.facebook.com/groups/2203140663/,35.00,"RUMS Men’s Hockey Club provides a friendly atmosphere, an active social scene as well as an enjoyable way of staying active.  From county and international players, to those who have yet to pick up a stick, our club welcomes all who look forward to taking up this fantastic sport whilst participating in the social aspect of university sport.  We currently operate three teams, all of which compete on a weekly basis in the British University and College Sport (BUCS) leagues, the London University Sports League (LUSL) and also represent RUMS at the historic United Hospitals Cup annually.  For those who just can’t get enough of the sport, there are also several social mixed team matches played with the Women’s Club throughout the season.  We are proud to be the reigning LUSL Premiership Champions and look to continue our dominance this season.  The social side of the club has also proven a prime attraction in recent years.  From the legendary post-match SportsNite every Wednesday evening, to the weekend tours across the country to other hockey clubs with the Women’s Club as well as regular events organised by our social secretaries, there is never a quiet moment throughout the year.  If you are interested in playing hockey at any level and want to join possibly the most social club in RUMS, make sure you come up to anyone of us at the RUMS Fresher’s Fayre and join us.  It’ll be the easiest and best decision you’ll ever make.  In the meantime, you can follow us on Twitter: https://twitter.com/RUMSHC  UCLU RUMS Men’s Hockey Club have signed the Zero Tolerance to Sexual Harassment Pledge .     This Club is Pride in Sport Accredited  ",
Hockey Club (Men's),Tobias Hughes,uczxhoc@ucl.ac.uk,,https://www.facebook.com/uclhockeyclub,25.00,"UCLU Men’s Hockey Club is renowned throughout the university as one of the largest and most sociable societies at UCL. With the introduction in 2013 of a 4th team to go alongsode our 3 other well established and newly promoted sides, there are opportunities to play high level hockey as well as a chance for beginners to give it a go. In the 12/13 season we will be offering: Men’s 1st XI  competing in BUCS League, BUCS Trophy, LUSL League and Cup competitions; Men’s 2nd & 3rd XIs  competing in BUCS League and Cup and LUSL Leagues and LUSL Reserve Cup.  The UCLU Hockey Club social calendar is packed with endless amounts of socials including a 4-legged pub crawl, Christmas Ball, the ‘Strawpedo World Championships’ and many other fun events. With strong ties to the Women’s Hockey club, we socialise and run an annual tour in the summer together.  Joining the club is a great opportunity to meet a whole new group of friends outside your course, halls and year group and to experience the unique culture of a university sport society. However, if you are still unconvinced, send us an e-mail, join our Facebook group, follow us on Twitter or come and talk to us at Welcome Fair. We all look forward to meeting all new members and those interested!  UCLU Men’s Hockey Club have signed the Zero Tolerance to Sexual Harassment Pledge.     This Club is Pride in Sport Accredited  ",
Hip-Hop &amp; RnB Society,Paul Koroma,uclu-hiphop.rnb.society@ucl.ac.uk,,https://www.facebook.com/ucluhhrnb,3.00,"It's Hip-Hop & RnB - that's Lauryn Hill to Jay-Z, Drake to ATCQ, Public Enemy to Kanye, Destiny's Child to Ja Rule, and probs some soul too.  We're gonna be doing all sorts of stuff throughout the year but you gotta know there ain't no squad do it like how we do. Basically we're just here to chill with some people that like good music but while we're at it, we're gonna have all sorts of events, like Nick Cannon's Wild 'n Out style quiz shows, UCL SPITS (basically hip-hop karaoke), Word Up (a spoken word event), we'll have discounted gigs and club nights, we're gonna wanna have live performances and shows on campus as well, debates and talks with some big voices, film screenings, listening parties, games nights and if the squad's on point, we'll drop a cypher come the end of the year too  Make sure to keep up to date with everything we're doing and jump on the mailing list here: eepurl.com/bBohqX  UCLU Hip-Hop & RnB Society have signed the Zero Tolerance to Sexual Harassment Pledge .",March 2015
Hindu Society,Kunal Dasani,uczxuhs@ucl.ac.uk,,https://www.facebook.com/ucluhsoc,3.00,"Winners of UCLU Event of the Year, our award winning society is one of the biggest at UCL and is committed to bringing you bigger, better and even more events this year.  We have exciting events throughout the year for you to meet new people and make lasting friendships, get spiritual insights from top speakers, celebrate Hindu festivals in style, and most importantly get involved in our sell-out West End cultural variety show Rangeela!  Find our Facebook page , Facebook Group or visit our website for more information. We're also on Twitter and Instagram with @ucluhsoc and even on Snapchat (ucluhsoc)!  The new committee are excited to make this year the best ever!  We hope to see you soon.  UCLU Hindu Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",January 1991
Hiking and Walking Club,Dean Abele,uczxhik@ucl.ac.uk,,https://www.facebook.com/groups/1623787964548788/?fref=ts,8.00,"We organise walks and hikes to suit all levels - from complete beginners to seasoned ramblers. Hikes in and around the south east take place every week, while weekend trips further away are planned throughout the year. Past destinations include Tenerife, Dartmoor, Skye, Snowdonia, Brecon Beacons, the Peak District, and the Lake District. So if you want to escape London, explore the country, climb some hills and meet some great people - get in touch! ",September 2009
Harry Potter Society,Alexander Hughes,calr739@ucl.ac.uk,,https://www.facebook.com/ucluhpsoc,4.00,"The UCLU Harry Potter society is open to everybody: from the hard-core fans to those less familiar with the world. We meet regularly for film screenings, quizzes, potion-making classes, and other Potter-themed activities. To find out more, including details of our upcoming events, please visit out Facebook page!  UCLU Harry Potter Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",January 2013
Handball Club,Felix-Ekkehard Ritter von Horstig,ucluhc@gmail.com,,https://www.facebook.com/pages/UCLU-Handball-Club/178825525505385,15.00,"Handball is one of the funniest, friendliest and fastest growing sports in the UK, and since the London 2012 Olympics, interest in the game has soared!  Imagine a mix between basketball and football, and along with hints of rugby, you’re basically there. The sport allows you to develop a combination of accuracy, agility, speed and strength. Games last sixty minutes, are divided into two halves and teams are allowed unlimited substitutions. All of this makes handball the second fastest indoor sport after ice hockey!  Whether you are a complete beginner, a handball veteran or are just looking to get fit, we want to have you involved in our society! Here is a selection of the activities that we can offer you:   Two training sessions a week at the brand new UCL Academy    Weekly social events    Regular matches competing against other London university teams in the university handball league    Volunteering in schools    Travel abroad and several international handball tournaments    Playing in the annual ABUHC university championships    Extra fitness sessions   All of this and we are one of the cheapest sports societies, so come along, meet us and give it a go!  If you have any questions feel free to get in contact, otherwise see you soon!  Email: ucluhc@gmail.com  FAQ  Where do we train?  UCL Academy, Swiss Cottage, NW3 3AQ  There will be two training sessions a week starting October 5th.  Tuesdays 7-9pm (developers / advanced) Wednesdays 7.30-9pm (beginners)  Do I have to be a UCL student to join?  Not necessarily! Players are welcome from other higher education institutions, as well as UCL staff members and alumni.  What do I need to play?  Just some trainers, sports clothes and a little enthusiasm!  UCLU Handball Club have signed the Zero Tolerance to Sexual Harassment Pledge. ",September 2009
Guitar Society,Tien Nguyen,,,https://www.facebook.com/groups/ucluguitarsociety/,4.00,"Open to guitarists of all styles and playing abilities, the UCLU Guitar Society is a vibrant community of guitar lovers. We love classic players like Jimmy Page, but we’re also unashamed of liking the less mainstream and, dare we say it, self-indulgent instrumental wizards such as Steve Vai and Tommy Emmanuel. We’re a fun-loving and friendly bunch, meeting regularly for jam sessions, socials, workshops and gig-going. Follow us on Facebook, Instagram, and Twitter for updates!  UCLU Guitar Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",November 2013
Greenough Society,William Taylor,uczxgrc@ucl.ac.uk,,,8.00,"UCLU Greenough Society is all about the Earth. We cater for everyone, with interests from oil and gas, to palaeontology, and even venturing beyond the Earth to the rest of the galaxy. Throughout the year we aim to provide an exciting environment full of a variety of activities. From careers to socials, we are a comprehensive society with a friendly attitude. Our speakers are hand picked from the best companies and organisations to provide you with the best learning experience within Earth Sciences. Also, we have networking opportunities to help make connections for your future, whether it be internships, volunteering or full time jobs, all across a variety of academic fields.  Our socials are not to be missed, they are a key element to our society, with much fun and entertainment. We have a variety of social events for everyone, and an annual field trip to really bring the society together. We are very welcoming and lots of fun, so don’t hesitate to join!",September 1904
Green Economy Society,Andrea Siaw,,,http://www.facebook.com/ucluges,3.00,"The UCLU Green Economy Society believes that to be green is to be Smart, Efficient, and Sustainable. Join us to find out more about sustainable development and green economy.  By organising a wide variety of student led events and through functioning as a multidisciplinary discussion platform, we aim to increase awareness of sustainable development and green economy! Throughout the year our activities involve:  Lectures, panel discussions, seminars and workshops from a wide range of guests, including industry professionals, economists, environmental consultants, campaigners, researchers and authors.  Sustainability related problem-solving student-pitches in cooperation with UCL’s Sustainability Team to improve sustainability around campus and to allow students to engage in sustainability related real-life challenges.  Fun and sustainability related social activities, such as visits to environmental/sustainability exhibitions, film screenings or volunteering.  The annual Sustainability Conference; an all-day event with a panel of speakers, debates and networking.   We welcome students from all academic disciplines with a common interest in environmental sustainability. Join us to find out more!  Contact us on uclu-greeneconomy@ucl.ac.uk ",
Global Brigades Society,Jacob Montgomery,calr712@live.ucl.ac.uk,,https://www.facebook.com/UCLGB,2.00,"Volunteering abroad. Understanding new cultures. Empowering students and communities. We work with Global Brigades, the world’s largest student-led global health and sustainable development organization, to send students to the developing world to help under-resourced communities attain self-sustainability and improve quality of life. We offer 10 programmes: microfinance, water, architecture, business, dental, public health, engineering, human rights, environmental and medical brigades. Our brigades go to Panama and Honduras. You don't need to be studying related subjects to join a brigade. If you have interests in areas like business or dental practice, and wish to lead a brigade, please get in touch and we’ll make it happen! We send 100-200 UCL students abroad every summer for 10 days at a cost of around £1100, including flights. As part of a leading international university, our programs aim to aid progress while respecting local culture and improving the environment. Fundraising takes place all year, until you reach your target. We welcome fundraising in any creative way! Preparation for the trip (such as education workshops) will depend on each brigade. If you have the passion for community service or are looking for insight into a fruitful future career, get involved and find out more! For further updates on our events: https://www.facebook.com/UCLGB Email: uclu-globalbrigades.society@ucl.ac.uk  UCLU Global Brigades Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
Judo Club,,,,https://www.facebook.com/groups/6749478556/?fref=ts,10.00,"The UCLU Judo society is one of the oldest martial arts societies at UCL, and we have the privilege of being coached by Bane Andjelkovic (6th Dan). We are a very friendly and welcoming society open to people of all abilities; each year we have a substantial intake of people who have never trained before so don’t be shy, come along and try it, you won’t be alone! At the beginning of each year we run a two week trial period where people can come along to training and decide whether the sport is for them before making any financial commitments.  Judo is particularly good for overall body fitness as the motions required to complete the throws and ground work positions require multiple groups of muscles simultaneously, improving co-ordination and control. The result of mastering this is that size no longer matters; if the timing is right anyone should be able to throw anyone.  We are a very diverse society in terms of grade and age, with many former UCL students coming back to train with us. For those who wish to compete we also enter several major competitions a year, depending on demand. We have achieved great success in the past; we were 8th in the country and 2nd among the 13 London Universities in 2014.  We train 3 times a week in two hour sessions. Our training times are:  Tuesday 7.45-9.45pm (Bloomsbury Fitness Studio)  Wednesday 8-10pm (Astor College)  Sunday 5-6.45pm (Bloomsbury Fitness Studio)  We collaborate a lot with BJJ and members often cross train on Sunday’s as the BJJ training session runs from 3-5pm just before us.  Membership to UCLU Judo for the year is £10, and we have a monthly mat fee of £10 as well.  For anyone who has not trained before and doesn’t have a gi, wearing a long sleeved top and any free moving long trousers/leggings for the first session will be fine!  If you have any questions please e-mail us at uczxjud@ucl.ac.uk  And to get regular updates on what’s happening with the club search for the UCLU Judo Club on Facebook  UCLU Judo Club have signed the Zero Tolerance to Sexual Harassment Pledge .  ",
Gospel Society: VOCE,Deborah-Divine Adegbie,uczxvoc@ucl.ac.uk,,https://www.facebook.com/groups/ucluvoce/,5.00,"VOCE at its core is an energetic, dynamic and explosive performing arts society. We have a renowned choir, vibrant dance, drama, band and poetry groups. Not only do we perform in UCL, but out of it, at events ranging from weddings to album launches. Our crowning glory is the yearly VOCE gospel show. If you like to sing, dance, write or all three you know where you need to be. Everyone is welcome so make your way to the phenomenon that is VOCE!  https://www.youtube.com/watch?v=HQcoPo7eT9Y  UCLU Voce Gospel Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
GO (weiqi) Club,Yuqiao Liu,uclu-go.weiqi.club@ucl.ac.uk,,https://www.facebook.com/groups/898866453516264/?fref=ts,3.00,"GO(weiqi) is a traditional board game originated from China with a history of over a thousand years. The club is affiliated under UCLU and British Go Association, mainly focussing on GO(weiqi) instruction. GO Club will hold training sessions every Wednesday for different levels from Beginner, intermediate and advanced. Complete-beginners will learn about the rules of GO(weiqi) as well as GO philosophy. You will be instructed systematically by solving problems, doing exercises and playing with other club members. We also welcome more advanced players and GO(weiqi) ClUB will be an ideal place where you can improve and discuss GO(weiqi).",April 2015
